ID,name,hiraname,age,sex,job,color,hp,mp,san,db,str,con,pow,dex,app,siz,int,edu,skill,setting,scenario,driverCom,managerCom,bossCom,spiritualCom,warcrimCom,creatorCom,maker,filename
14,刻別菜　淡黄,ときわな　あわき,24,男,中学美術教師,淡黄　#F8E58C,10/10,10/10,50/50,,10,9,10,16,11,12,14,14,ccb<=85　　目星$ccb<=45　　聞き耳$ccb<=75　　図書館$ccb<=30　　隠す$ccb<=85　　芸術（油絵）$ccb<=80　　制作（模刻）$ccb<=71　　精神分析$ccb<=55　　忍び歩き$ccb<=70　　日本語$ccb<=77　　回避,ソプスク時は刻別菜如(ときわなゆき)の名だった$いろいろあったが妹と仲良く暮らしている,ソープスクール,いきなり腕切るのこわ…,妹一心でかっこいい,立ち絵が多い,幸せになってね,熱いハートの持ち主,社先に声かけられても無視してほしい,,
15,安野　運,やすの　さだめ,25,男,作業療法士,White coffee　#E9E0D2,12/12,7/7,35/35,1d4,15,10,7,15,15,13,15,12,ccb<={SAN}   SAN$ccb<=50　幸運$ccb<=70　知識$ccb<=70　アイデア$ccb<=70　目星$ccb<=65　聞き耳$ccb<=65　図書館$ccb<=60　言いくるめ$ccb<= 66　精神分析$ccb<= 70　医学$ccb<=26 　生物学$ccb<=60　日本語$ccb<=21　英語$ccb<=50　キック$ccb<=30　回避$ccb<=,本名は鮫峰利音(さめみね　りね) 現在、作業療法士として働いている 絶賛、記憶喪失(嘘)やってます,カタシロアナザー$Dの信仰$灰になってよかった,,still unknown,エモクロアで使うかも,はへへ、好きだよ,unknown！,　,,
16,狗橋　憩麻（旧世界線）,いぬはし　いこま,26,男,公安,ゴールド　#FFCC00,14/14,12/12,60/60,1d4,16,14,12,13,14,13,12,15,ccb<=65　　目星$ccb<=55　　聞き耳$ccb<=25　　図書館$ccb<=85　　心理学$ccb<=45　　説得$ccb<=70　　追跡$ccb<=75　　運転（バイク）$ccb<=90　　キック$ccb<=70　　こぶし$ccb<=20　　頭突き$ccb<=35　　組付き$ccb<=25　　投擲$ccb<=85　　拳銃$ccb<=81　　回避$ccb<=65　　催涙スプレー(DEX×5)$ccb<=5　　クトゥルフ神話技能$$1d6*2+1d4+2　　キック(MAアリ)$1d3*2+1d4+2　　こぶし(MAアリ)$1d4*2+1d4+2　　頭突き(MAアリ)$1d6+1d4+2　　キック$1d3+1d4+2　　こぶし$1d4+1d4+2　　頭突き$1d3　　催涙スプレーのスタンターン数$$ccb<=60　POW×5,哀れな子 作成時のコンセプトは、 もしガネッシュが欠陥品でなかったら、,NOBODY*2,かわいそうないこま,よく頑張りました,失踪しました。,好みの子がああなるとそうよねって気持ち,まだ慌てる時じゃない,入間のこと大好きになってくれてありがと〜,,
17,狗橋　憩麻（現世界線）,いぬはし　いこま,26,男,犯罪者,ゴールド　#A57C00,14/14,12/12,60/60,1d4,16,14,12,13,14,13,12,9,ccb<={SAN}   SAN$ccb<=60　幸運$ccb<=45　知識$ccb<=60　アイデア$ccb<=60　　目星$ccb<=55　　聞き耳$ccb<=25　　図書館$ccb<=35　　隠す$ccb<=41　　鍵開け$ccb<=60　　ナビゲート$ccb<=75　　運転（バイク）$ccb<=75　　キック$ccb<=46　　回避,東京タワーで入間に捕まりそうになって山に逃げて滑落してシナリオに行く。 ヤクの密売の末端の運び屋やってる。,あいうゑをわる,,,,,,,,
18,凛堂　ノア,りんどう　のあ,32,男,探偵,瑠璃紺　#1B294B,12/12,14/14,25/70,＋1d4,12,9,14,10,12,15,9,15,ccb<=5０　　目星$ccb<=6０　　聞き耳$ccb<=８０　　図書館$ccb<=７５　　母国語（英）$ccb<=３６　　日本語$ccb<=７０　　応急手当$ccb<=5６　　精神分析$ccb<=３５　　説得$ccb<=55　　制作(カクテル)$ $ccb<=55　　日本刀$ccb<=２１　　居合 $$1d10＋1d4　　日本刀ダメージ$1d10＋１ｄ４＋2　　日本刀ダメージ（ＭＡあり）,N＆Hアーク探偵事務所の探偵。$多分今後、バーテンダーとかやってる。　,同居人,えっちじゃない？,H,情報過多,顔が受け,,えっち,,
19,Dylan・Al＝Salif,でぃらん・ある＝さーりふ,,男,ディレッタント・投資家,インディゴ　#4B0082,10,16,80/80,-1d4,7,12,16,16,18,9,16,9,,石油王の息子。　$愉悦部員。あんましうまくRPできないけど、$子供のくせに世界を俯瞰で見て、そのうえでやりたいことをして生きてる。,ヴェルネの天使は死を歌う,苦手なタイプかも…,いいじゃん,意外と今までいなかったタイプ,頼りになるお兄ちゃん,,正直わからせが似合う,,
20,知峰　愛夢,しらみね　めくら,18,女,高校生,ダークオレンジ　#FF8C00,11/11,14/14,70/70,1d4,18,10,14,11,14,11,17,9,,離島で生まれ育った少女。$自頭はいい（INT高い）が閉鎖的な環境のせいで感性が偏り気味。$これからの行く末に期待,火灯し頃の蜘蛛踊り,,外に出れてよかったね,女の子だよ！珍しい、、、,幸せになってね…,,髪の毛好き〜〜〜,,
21,闇表,やおもて,,男,公務員,フレーム　#E25822,14/14,13/13,65/65,1d4,9,11,13,13,11,16,14,11,ccb<=60　　目星$ccb<=45　　聞き耳$ccb<=55　　図書館$ccb<=60　　応急手当$ccb<=41　　人類学$ccb<=60　　登攀$ccb<=55　　日本語$ccb<=75　　忍び歩き$ccb<=50　　隠れる$$ccb<=85　　マチェット$1d8+1d4　　マチェットダメージ値$ccb<=76　　回避,不遇の人生に負けず、頑張っている青年。素直で先輩のことを心から慕っている。少々強面だが、本人は真面目な顔をしているだけ。,ようこそ！迷冥市役所都市伝説課へ！,強く生きて,,新人ぽかった。また号泣した。,,,強く生きろ。,,
22,藤里　照美,ふじさと　てるみ,20,男,大学生,#AFB4DB,10/10,10/10,24/50,0,10,6,10,10,15,14,14,14,ccb<={SAN}   SAN$ccb<=50　幸運$ccb<=70　知識$ccb<=70　アイデア$ccb<=70　目星$ccb<=65　聞き耳$ccb<=65　図書館$ccb<=60　言いくるめ$ccb<= 26　精神分析$ccb<=26　オカルト$ccb<= 21　天文学$ccb<=65 　歴史$ccb<=70　日本語$ccb<=31　ラテン語$ccb<=50　隠す$ccb<=75　こぶし$ccb<=60 　回避$ccb<=,元少年A,辜月のN,,,やったぁぁぁぁっぁっぁぁｋｂあｓｘ,すげえかわいい…,,スパダリ,,
23,Swee•Lumi•Campanella,スウィ・リュミ・カンパネルラ,17,男,ジャンク屋,#F8A799,11/11,14/14,70/70,0,12,11,14,12,13,11,12,14,ccb<={SAN}   SAN$ccb<=70　幸運$ccb<=70　知識$ccb<=60　アイデア$ccb<=60　運転(宇宙船)$ccb<=65　目星$ccb<=25　聞き耳$ccb<=70　図書館$ccb<=15　博物学$ccb<=30　信用$ccb<=51　精神分析$ccb<=40　応急手当$ccb<=60　製作(アクセサリー)$ccb<=60　機械修理,泥中に蓮,僕らのシャングリラ、あの子のほうき星,,,,,,苦労人オーラ,,
24,鳩羽　鉄船,はとば　てっせん,33,男,写真家,#18E586,14/14,10/10,50/50,1d4,13,13,10,12,7,14,12,16,ccb<={SAN}   SAN$ccb<=50　幸運$ccb<=80　知識$ccb<=60　アイデア$ccb<=45　目星$ccb<=65　聞き耳$ccb<=75　図書館$ccb<=25　薬学$ccb<=70　応急手当$ccb<=51　精神分析$ccb<=75　信用$ccb<=85　心理学$ccb<=55　オカルト$ccb<＝61　英語$ccb<=80　日本語,編み笠,ヒライス,,,,どんなことも一緒に分け合っていこうね(依存),,目の前で命が失われるのはこれで何度目ですか？,,
25,新牛　香蒲,あらう　かほ,34,オネエ,看護師,,14/14,13/13,65/65,1d6,18,12,13,11,7,16,10,18,ccb<={SAN}   SAN$ccb<=65　幸運$ccb<=90　知識$ccb<=50　アイデア$ccb<=85　目星$ccb<=85　聞き耳$ccb<=65　図書館$ccb<=55　医学$ccb<=85　応急手当$ccb<=61　精神分析$ccb<=75　信用$ccb<=40　電気修理$ccb<=65　機械修理$ccb<75　組付き$ccb<=90　日本語,周囲には自分のことを“かほちゃん”と呼ばせようとしている,紡命論,,,,ここなちゃんと同卓して〜〜！！！好き…,,ムードーメーカー様様,,
26,鬼塚　鹿灯,おにづか　ろくと,18,男,高校生,#EB6123,14/14,13/13,65/65,0,10,14,13,10,11,13,12,9,ccb<={SAN}   SAN$ccb<=$ccb<=65　幸運$ccb<=45　知識$ccb<=60　アイデア$ccb<=70　目星$ccb<=65　聞き耳$ccb<=35　図書館$ccb<=31　薬学$ccb<=40　機械修理$ccb<=40　電気修理$ccb<=31　鍵開け$ccb<=70　信用$ccb<=55　制作（料理）$ccb<=21　英語$ccb<=45　日本語$ccb<=0　クトゥルフ神話,実家が銭湯の高校生男子,初恋性ストックホルム症候群,,,,,,,,
27,繰越　糸雀,くりこし　いさく,16,男,高校生,,10/10,11/11,55/55,0,8,9,11,13,14,11,14,11,ccb<={SAN}   SAN$ccb<=$ccb<=55　幸運$ccb<=55　知識$ccb<=70　アイデア$ccb<=70　目星$ccb<=45　聞き耳$ccb<=65　図書館$ccb<=75　運転（二輪）$ccb<=40　応急手当$ccb<=40　言いくるめ$ccb<=70　隠す$ccb<=56　変装$ccb<=66　制作（服飾）$ccb<=55　日本語$ccb<=0　クトゥルフ神話,女装男子,片鱗,,,,,,,,
28,山寝月　醸舌,やまねつき　じょうぜつ,41,男,狙撃手,月白　#EAF4FC,9/9,18/18,90/90,1d4,15,8,18,11,15,10,14,20,ccb<={SAN}   SAN$ ccb<=90幸運$ccb<=100　知識$ccb<=70　アイデア$\\\$ccb<=90　目星$ccb<=55　聞き耳$ccb<=25　図書館$ccb<=35　応急手当$ccb<=58　コンピュータ$ccb<=65　隠す$ccb<=90　隠れる$ccb<=45　隠れる（1/2）$ccb<=31　鍵開け$ccb<=55　ナビゲート $ccb<=55　機械修理$ccb<=60　芸術（清掃）$ccb<=40　登攀$ccb<=35　跳躍$ccb<=100　日本語$\\\$ccb<=95　回避$ccb<=75　拳銃$\\\$ccb(100)<=95　ライフル_L115$　ccb(96)<=95　ライフル_バーレット・モデル82$ccb(98)<=95　ライフル_FNファイヴ・セヴン$\\\$3d6＋4　L115$2d10＋1d8＋6　バーレット・モデル82$2d6　FNファイヴ・セヴン ,HO1,サイレン清掃会社,,,,,,,,
29,鈴影　蝶依,すずかげ　ちより,23,男,専業主夫,ダストストーム　#E5CCC9,10/10,12/12,60/60,0,7,7,12,9,12,13,14,12,ccb<={SAN}   SAN$ccb<=65　幸運$ccb<=60　知識$ccb<=70　アイデア$ccb<=75　目星$ccb<=75　聞き耳$ccb<=55　図書館$ccb<=40　隠れる$ccb<=45　信用$ccb<=75　芸術(家事)$ccb<=80　制作(料理)$ccb<=40　応急手当$ccb<=60　日本語$ccb<=36　イタリア語,HO2,OH MY BABY,,,,,,,,
30,朝福路　藍韋,さふくじ　あい,27,女,理工学部大学院生,,12/12,13/13,58/65,1d4,8,7,13,7,14,17,15,19,ccb<={SAN}   SAN ccb<=65　幸運 ccb<=90　知識 ccb<=75　アイデア ccb<=75　目星 ccb<=55　聞き耳 ccb<=65　図書館 ccb<=85　心理学 ccb<=11　精神分析 ccb<=75　言いくるめ ccb<=71　物理学 ccb<=71　電子工学 ccb<=71　人類学 ccb<=51　ドイツ語 ccb<=95　日本語　ccb<=1 クトゥルフ神話技能,,正しい死体の屠り方,,,,,,,,
31,霧先　恋水,きりさき　れんすい,22,男,菓子屋のバイト,#8CBED6,16/16,9/9,45/45,1d4,12,18,9,6,12,13,15,16,,,愛罠蜂,,,,,,,,
32,榊一　木,さかきいち　もく,,,,,,,,,,,,,,,,,,,デ死,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,鶯宿梅　却力,うずめ　かよ,,女,,,11/11,10/10,50/50,-1d4,5,11,10,15,12,10,17,8,,,,,,DBマイナスには笑うしかない,,,,,
36,Lawrence,ろーれんす,10,男,,Italian sky blue　#B2FFFF,,,,,,,,,,,,,,愛称はラリー,,,,,,,,,
37,外鯨　四片,とくじら　よひら,,男,喫茶店店員,紫陽花青　#9093E0,,,,,,,,,,,,,,不思議なことに慣れてしまった一般人,,,,,,紫陽花をありがとう,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
